   Epoch(us)      Compute          MPI        Total
   3180.0000 10230000000000  10000000000 10240000000000
   3190.0000 10230000000000  10000000000 10240000000000
   3200.0000 10230000000000  10000000000 10240000000000
   3210.0000 10230000000000  10000000000 10240000000000
   3220.0000 10230000000000  10000000000 10240000000000
   3230.0000 10224558077519  15441922481 10240000000000
   3240.0000 10220000000000  20000000000 10240000000000
   3250.0000 10219715127051  20284872949 10240000000000
   3260.0000 3516839645462 6723160354538 10240000000000
   3270.0000 5337621522164 4902378477836 10240000000000
   3280.0000 10230000000000  10000000000 10240000000000
   3290.0000 10230000000000  10000000000 10240000000000
   3300.0000 10230000000000  10000000000 10240000000000
   3310.0000 10230000000000  10000000000 10240000000000
   3320.0000 10230000000000  10000000000 10240000000000
   3330.0000 10230000000000  10000000000 10240000000000
   3340.0000 10230000000000  10000000000 10240000000000
   3350.0000 10230000000000  10000000000 10240000000000
   3360.0000 10223873756101  16126243899 10240000000000
   3370.0000 10220000000000  20000000000 10240000000000
   3380.0000 10219970908098  20029091902 10240000000000
   3390.0000 7457179534669 2782820465331 10240000000000
   3400.0000 5237278575693 5002721424307 10240000000000
   3410.0000 948569127321 6161542211144 7110111338465
   3420.0000  10000000000            0  10000000000
   3430.0000  10000000000            0  10000000000
   3440.0000  10000000000            0  10000000000
   3450.0000  10000000000            0  10000000000
   3460.0000  10000000000            0  10000000000
   3470.0000  10000000000            0  10000000000
   3480.0000     43314443            0     43314443
